,Date,return,Y1,predicted,binary,ticker,pTradeRate,tTradeBool,top,strat
103,2024-07-29,0.0038282625594168,-0.0081663889727445,0.005967484946185,0,AMZN,-0.0081663889727445,0.0,1,0.0038282625594168
104,2024-07-30,-0.0081663889727445,0.0285895898041221,-0.0090369092198762,0,AMZN,0.0,0.0285895898041221,0,-0.0081663889727445
106,2024-07-02,0.0095053021158385,0.0009024218510787,0.0067962883343018,0,META,0.0009024218510787,0.0009024218510787,0,0.0
107,2024-07-03,0.0009024218510787,0.0570701347467219,-0.0012097707775636,0,META,0.0,0.0570701347467219,0,0.0
108,2024-07-05,0.0570701347467219,-0.0198092315186978,0.0321913042411808,0,META,-0.0198092315186978,0.0,1,0.0
109,2024-07-08,-0.0198092315186978,0.0012838288042851,-0.0131798828665398,0,META,0.0,0.0012838288042851,0,-0.0198092315186978
110,2024-07-09,0.0012838288042851,0.0088101377237239,0.0029946646263847,0,META,0.0088101377237239,0.0088101377237239,0,0.0
111,2024-07-10,0.0088101377237239,-0.0419962416709306,0.0093251097918787,0,META,-0.0419962416709306,0.0,0,0.0
112,2024-07-11,-0.0419962416709306,-0.0273453716187734,-0.0195567958835366,0,META,0.0,0.0,0,-0.0
113,2024-07-12,-0.0273453716187734,-0.0054470682471444,-0.0235384688245028,0,META,0.0,0.0,0,-0.0
114,2024-07-15,-0.0054470682471444,-0.0129217174738313,-0.0052801990612543,0,META,0.0,0.0,0,-0.0
115,2024-07-16,-0.0129217174738313,-0.0584335205715486,-0.0191153312320244,0,META,0.0,0.0,0,-0.0
116,2024-07-17,-0.0584335205715486,0.0295594666572433,-0.0294527746039901,0,META,0.0,0.0295594666572433,0,-0.0
117,2024-07-18,0.0295594666572433,0.0019734689537039,0.0217489970712212,0,META,0.0019734689537039,0.0019734689537039,1,0.0
118,2024-07-19,0.0019734689537039,0.0220089683698948,-0.001617110838232,0,META,0.0,0.0220089683698948,0,0.0019734689537039
119,2024-07-22,0.0220089683698948,0.0026432179426616,0.0268174040473113,0,META,0.0026432179426616,0.0026432179426616,1,0.0
120,2024-07-23,0.0026432179426616,-0.0577448155804268,0.0030423534652766,0,META,-0.0577448155804268,0.0,0,0.0026432179426616
121,2024-07-24,-0.0577448155804268,-0.0171867295436536,-0.0297239180815648,0,META,0.0,0.0,0,-0.0
122,2024-07-25,-0.0171867295436536,0.026744874713466,-0.0269598100206095,0,META,0.0,0.026744874713466,0,-0.0
